ORDER_NUMBER,ORDER_TYPE,ORDER_DESCRIPTION,ISSUE_CODE,ISSUE_DESCRIPTION,MAINT_ACTIVITY_TYPE,MAINT_ACTIVITY_DESCRIPTION,ORDER_CREATE_DATE,ORDER_CREATE_TIME,JOB_PRIORITY,SUBURB,STREET,HOUSE_NUM1,HOUSE_NUM2,POSTCODE,FITTER_DISTRICT,WORK_TIME_ELAPSED
401566068,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210820,08:50:54,A,ORANGE,BURRENDONG WAY,346,LOT6,2800,810,150
401566068,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210820,08:50:54,A,ORANGE,BURRENDONG WAY,346,LOT6,2800,810,150
401566068,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210820,08:50:54,A,ORANGE,BURRENDONG WAY,346,LOT6,2800,810,150
401551777,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210805,12:33:17,A,GREGORY HILLS,MURRUMBIDGEE ST,6,LOT741,2557,250,70
401551777,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210805,12:33:17,A,GREGORY HILLS,MURRUMBIDGEE ST,6,LOT741,2557,250,70
401551777,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210805,12:33:17,A,GREGORY HILLS,MURRUMBIDGEE ST,6,LOT741,2557,250,70
401551777,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210805,12:33:17,A,GREGORY HILLS,MURRUMBIDGEE ST,6,LOT741,2557,250,70
401555575,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210808,07:47:36,A,CAMERON PARK,PORTLAND DR,61,F 1,2285,502,82
401555575,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210808,07:47:36,A,CAMERON PARK,PORTLAND DR,61,F 1,2285,502,82
401551777,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210805,12:33:17,A,GREGORY HILLS,MURRUMBIDGEE ST,6,LOT741,2557,250,35
401551777,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210805,12:33:17,A,GREGORY HILLS,MURRUMBIDGEE ST,6,LOT741,2557,250,35
401551777,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210805,12:33:17,A,GREGORY HILLS,MURRUMBIDGEE ST,6,LOT741,2557,250,35
401551777,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210805,12:33:17,A,GREGORY HILLS,MURRUMBIDGEE ST,6,LOT741,2557,250,35
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,55
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,55
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,55
401563361,GTNO,Normal Trouble/Fault Order,X31,LARGE GAS ESCAPE (MAIN/NETWRK COMPONENT),EMG,Emergency,20210816,11:31:45,A,RANDWICK,SULLY ST,15,U 2,2031,310,55
